age_group,season,hour,n,mean,median,std,type
"[20,80]",fall,3,41281,0.512925383360867,0.561452269554138,0.284399218161848,female
"[20,80]",fall,4,17748,0.493855028017786,0.524892330169678,0.288677085076049,female
"[20,80]",fall,5,10494,0.465269638631725,0.48584058880806,0.289302812127757,female
"[20,80]",fall,6,5983,0.38558772409398,0.28999662399292,0.284547616787595,female
"[20,80]",fall,7,4393,0.299013186970354,0.212771728634834,0.255802512369846,female
"[20,80]",fall,8,4399,0.290933570300364,0.21025775372982,0.249998349882945,female
"[20,80]",fall,9,4565,0.289113195558555,0.202982902526855,0.252046495408323,female
"[20,80]",fall,10,3993,0.279315983637866,0.194282442331314,0.250270518296608,female
"[20,80]",fall,11,3176,0.257891351036447,0.183594062924385,0.237672175106377,female
"[20,80]",fall,12,2808,0.256434915635564,0.173304706811905,0.237469061426207,female
"[20,80]",fall,13,2260,0.259039156713556,0.179443269968033,0.236652302395177,female
"[20,80]",fall,14,1746,0.24569562797217,0.16859857738018,0.228426363805752,female
"[20,80]",fall,15,1320,0.251827464193092,0.169596716761589,0.234424514024481,female
"[20,80]",fall,16,1068,0.257419999949163,0.167354084551334,0.246832142558941,female
"[20,80]",fall,17,977,0.269021545807538,0.187899962067604,0.247962422498077,female
"[20,80]",fall,18,3253,0.444213897031049,0.436806708574295,0.287646552945543,female
"[20,80]",fall,19,122371,0.51902698387671,0.559670209884644,0.258428745639113,female
"[20,80]",fall,20,266847,0.521491599714258,0.561452269554138,0.253873034145164,female
"[20,80]",fall,21,179516,0.521033138194567,0.561651766300201,0.256420803615563,female
"[20,80]",fall,22,57849,0.500346364968706,0.535243332386017,0.268282817291234,female
"[20,80]",fall,23,55057,0.492653786007739,0.517468869686127,0.275519271835623,female
"[20,80]",spring,0,75583,0.485644884320873,0.5057373046875,0.276964003754324,female
"[20,80]",spring,1,63951,0.487931720633661,0.507214367389679,0.280589395564586,female
"[20,80]",spring,2,66376,0.492708079222124,0.517468869686127,0.284584911428616,female
"[20,80]",spring,3,54040,0.494493729727988,0.522146165370941,0.285772527824632,female
"[20,80]",spring,4,23840,0.487150479574147,0.507757902145386,0.287145329218165,female
"[20,80]",spring,5,11882,0.464122896271911,0.48841992020607,0.288568403658457,female
"[20,80]",spring,6,6761,0.395067994663129,0.332865208387375,0.285344987342871,female
"[20,80]",spring,7,4690,0.30690763385466,0.221645206212997,0.258704194911658,female
"[20,80]",spring,8,4806,0.297693578803875,0.214408256113529,0.252911825957062,female
"[20,80]",spring,9,4573,0.280669054043354,0.198848068714142,0.246066897204425,female
"[20,80]",spring,10,4414,0.27483836158656,0.195426627993584,0.240065875739876,female
"[20,80]",spring,11,3761,0.263852023544091,0.181757658720016,0.240977601369716,female
"[20,80]",spring,12,3337,0.255334415683896,0.173284828662872,0.236319824552683,female
